PortfolioID	TradeID	CollectRegulations	ProductClass	RiskType	Qualifier	Bucket	Label1	Label2	Amount	AmountCurrency	AmountUSD
C1	C1.S_IR_1	All	RatesFX	Risk_IRCurve	USD	1	2w	OIS	4000000	USD	4000000
C2	C2.S_IR_2	All	RatesFX	Risk_IRCurve	USD	1	3m	Municipal	-3000000	USD	-3000000
C3	C3.S_IR_3	All	RatesFX	Risk_IRCurve	USD	1	1y	Municipal	2000000	USD	2000000
C4	C4.S_IR_4	All	RatesFX	Risk_IRCurve	USD	1	1y	Prime	3000000	USD	3000000
C5	C5.S_IR_5	All	RatesFX	Risk_IRCurve	USD	1	1y	Prime	-1000000	USD	-1000000
C6	C6.S_IR_6	All	RatesFX	Risk_IRCurve	EUR	1	3y	Libor3m	-2000000	USD	-2000000
C7	C7.S_IR_7	All	RatesFX	Risk_IRCurve	EUR	1	3y	Libor6m	5000000	USD	5000000
C8	C8.S_IR_8	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	10000000	USD	10000000
C9	C9.S_IR_9	All	RatesFX	Risk_IRCurve	EUR	1	5y	Libor12m	25000000	USD	25000000
C10	C10.S_IR_10	All	RatesFX	Risk_IRCurve	EUR	1	10y	Libor12m	35000000	USD	35000000
C11	C11.S_IR_11	All	RatesFX	Risk_IRCurve	AUD	1	1m	Libor3m	2000000	USD	2000000
C12	C12.S_IR_12	All	RatesFX	Risk_IRCurve	AUD	1	6m	Libor3m	3000000	USD	3000000
C13	C13.S_IR_13	All	RatesFX	Risk_IRCurve	AUD	1	2y	Libor3m	-2000000	USD	-2000000
C14	C14.S_IR_14	All	RatesFX	Risk_IRCurve	CHF	1	15y	Libor6m	-4000000	USD	-4000000
C15	C15.S_IR_15	All	RatesFX	Risk_IRCurve	CHF	1	20y	Libor6m	10000000	USD	10000000
C16	C16.S_IR_16	All	RatesFX	Risk_IRCurve	CHF	1	30y	Libor6m	18000000	USD	18000000
C17	C17.S_IR_17	All	RatesFX	Risk_Inflation	CHF				-10000000	USD	-10000000
C18	C18.S_IR_18	All	RatesFX	Risk_XCcyBasis	CHF				30000000	USD	30000000
C19	C19.S_IR_19	All	RatesFX	Risk_IRCurve	JPY	2	2w	Libor1m	-1000000	USD	-1000000
C20	C20.S_IR_20	All	RatesFX	Risk_IRCurve	JPY	2	1m	Libor1m	-1500000	USD	-1500000
C21	C21.S_IR_21	All	RatesFX	Risk_IRCurve	JPY	2	3m	Libor3m	1500000	USD	1500000
C22	C22.S_IR_22	All	RatesFX	Risk_IRCurve	JPY	2	6m	Libor3m	2000000	USD	2000000
C23	C23.S_IR_23	All	RatesFX	Risk_IRCurve	JPY	2	1y	Libor6m	3000000	USD	3000000
C24	C24.S_IR_24	All	RatesFX	Risk_IRCurve	JPY	2	2y	Libor6m	4000000	USD	4000000
C25	C25.S_IR_25	All	RatesFX	Risk_IRCurve	JPY	2	3y	Libor6m	5000000	USD	5000000
C26	C26.S_IR_26	All	RatesFX	Risk_IRCurve	JPY	2	5y	Libor12m	20000000	USD	20000000
C27	C27.S_IR_27	All	RatesFX	Risk_IRCurve	JPY	2	10y	Libor12m	30000000	USD	30000000
C28	C28.S_IR_28	All	RatesFX	Risk_IRCurve	JPY	2	15y	Libor12m	-1000000	USD	-1000000
C29	C29.S_IR_29	All	RatesFX	Risk_IRCurve	JPY	2	20y	Libor12m	-2000000	USD	-2000000
C30	C30.S_IR_30	All	RatesFX	Risk_IRCurve	JPY	2	30y	Libor12m	3000000	USD	3000000
C31	C31.S_IR_31	All	RatesFX	Risk_Inflation	JPY				5000000	USD	5000000
C32	C32.S_IR_32	All	RatesFX	Risk_XCcyBasis	JPY				500000	USD	500000
C33	C33.S_IR_33	All	RatesFX	Risk_IRCurve	CNY	3	2w	OIS	1000000	USD	1000000
C34	C34.S_IR_34	All	RatesFX	Risk_IRCurve	CNY	3	1m	OIS	1500000	USD	1500000
